15:27:30 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 63234 
15:27:30 info -  [SocketServerLauncher] Starting GLSP server connection 
15:27:30 info -  [DefaultGLSPServer] Initializing server with: applicationId: 31744dc5-c020-496d-ba7e-71bb30a94a68, protocolVersion: 1.0.0 
15:27:34 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
15:27:34 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
15:27:34 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
15:27:34 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:27:34 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
15:27:41 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:27:41 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:27:43 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
15:27:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:27:44 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:27:45 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:28:06 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:28:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:28:09 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:28:09 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:28:11 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:31:45 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
15:31:45 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:31:46 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
15:31:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:35:36 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
15:35:37 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:35:50 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
15:35:50 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:35:54 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
15:35:55 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
