15:46:58 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 61658 
15:46:58 info -  [SocketServerLauncher] Starting GLSP server connection 
15:46:58 info -  [DefaultGLSPServer] Initializing server with: applicationId: 644236a0-0620-4970-8e30-fa89877337e4, protocolVersion: 1.0.0 
15:47:01 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
15:47:01 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
15:47:01 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
15:47:02 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:47:02 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
15:47:05 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:47:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:47:07 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
15:47:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:47:09 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:47:13 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
15:47:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:47:16 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:47:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:47:18 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:47:18 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:47:20 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:47:29 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
15:47:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:47:34 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:47:34 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:47:39 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:47:39 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:47:40 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:47:42 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:47:43 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:47:58 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
15:47:58 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:48:04 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:48:04 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:48:14 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:48:14 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:48:20 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:48:20 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:48:22 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:48:31 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
15:48:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:48:34 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:48:34 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:48:36 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:48:44 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
15:48:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:48:47 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:48:47 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:48:49 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:48:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:48:50 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:50:25 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
15:50:26 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:50:28 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:50:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:50:29 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:50:51 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:50:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:50:54 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:50:54 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:50:55 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:51:46 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:52:07 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
