16:12:03 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 51435 
16:12:03 info -  [SocketServerLauncher] Starting GLSP server connection 
16:12:03 info -  [DefaultGLSPServer] Initializing server with: applicationId: f98749dd-2275-4706-95f9-3b16345c0a3d, protocolVersion: 1.0.0 
16:12:05 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
16:12:05 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
16:12:05 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
16:12:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:12:05 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
16:12:11 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:12:11 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:12:14 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:12:14 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:12:17 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:12:17 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:12:19 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:12:19 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:12:22 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:12:22 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:12:28 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:12:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:12:31 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:12:32 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:12:33 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
16:12:50 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
16:12:50 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:12:53 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
16:13:02 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:13:02 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:13:04 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:13:04 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:13:05 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
16:13:18 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
16:13:18 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:13:21 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:13:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:13:23 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
