16:02:18 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 56799 
16:02:18 info -  [SocketServerLauncher] Starting GLSP server connection 
16:02:18 info -  [DefaultGLSPServer] Initializing server with: applicationId: 9c864d96-d8dc-4c5a-a82a-eddd113c9139, protocolVersion: 1.0.0 
16:02:20 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
16:02:20 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
16:02:20 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
16:02:20 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:02:20 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
16:02:25 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:02:25 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:02:26 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
16:02:26 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:02:27 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
16:02:33 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:02:33 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:02:36 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:02:36 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:02:37 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
16:02:41 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
16:02:41 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:02:44 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
16:02:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:02:46 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:02:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:02:48 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:02:48 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:02:49 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
