16:31:14 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55668 
16:31:14 info -  [SocketServerLauncher] Starting GLSP server connection 
16:31:14 info -  [DefaultGLSPServer] Initializing server with: applicationId: b29a6eb2-d9b9-438a-94ea-eb7058881e4b, protocolVersion: 1.0.0 
16:31:16 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
16:31:16 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
16:31:16 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
16:31:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:31:16 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
16:31:23 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:31:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:31:36 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
16:31:54 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:31:54 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:31:56 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
16:31:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:31:59 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:31:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:32:00 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
16:32:08 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
16:32:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:32:10 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:32:10 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:32:12 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
16:32:46 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
16:32:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
