16:04:24 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 52003 
16:04:24 info -  [SocketServerLauncher] Starting GLSP server connection 
16:04:24 info -  [DefaultGLSPServer] Initializing server with: applicationId: f45787f5-8695-4751-a7d9-f2c2cd2d701e, protocolVersion: 1.0.0 
16:04:25 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
16:04:25 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
16:04:25 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
16:04:25 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:04:25 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
16:04:32 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:04:32 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:04:33 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
16:04:41 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:04:41 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:04:43 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:04:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
