16:06:47 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 52075 
16:06:47 info -  [SocketServerLauncher] Starting GLSP server connection 
16:06:47 info -  [DefaultGLSPServer] Initializing server with: applicationId: 2133df8b-f466-4931-a62c-b8daa9670e28, protocolVersion: 1.0.0 
16:06:49 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
16:06:49 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
16:06:49 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
16:06:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:06:49 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
16:06:56 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:06:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:07:02 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:07:02 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:07:03 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
16:07:09 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:07:09 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:07:12 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:07:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:07:14 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
16:07:18 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
16:07:18 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
