17:21:50 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 65051 
17:21:51 info -  [SocketServerLauncher] Starting GLSP server connection 
17:21:51 info -  [DefaultGLSPServer] Initializing server with: applicationId: 7bbe2f16-09b2-47bf-b595-638a0482428c, protocolVersion: 1.0.0 
17:21:53 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
17:21:53 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
17:21:53 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
17:21:53 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:21:53 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
17:22:27 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:22:27 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:22:28 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
17:22:37 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:22:38 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:22:41 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:22:41 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:22:43 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
17:22:50 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
17:22:50 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:22:52 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:22:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:22:54 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
17:23:00 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:23:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:23:02 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:23:02 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:23:03 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
17:23:12 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
17:23:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:23:15 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:23:15 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:23:17 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
