17:49:50 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 65355 
17:49:50 info -  [SocketServerLauncher] Starting GLSP server connection 
17:49:50 info -  [DefaultGLSPServer] Initializing server with: applicationId: a4b8fc3a-1be1-41cf-af30-5b453fbffcb8, protocolVersion: 1.0.0 
17:49:52 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
17:49:52 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
17:49:52 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
17:49:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:49:52 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
17:50:06 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:50:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:50:08 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
17:50:18 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:50:18 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:50:22 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:50:22 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:50:26 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:50:26 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:50:29 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:50:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:50:33 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:50:33 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:50:35 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:50:35 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:50:37 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
17:50:44 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
17:50:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:50:45 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
17:51:07 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:51:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:51:13 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:51:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:51:15 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
17:51:21 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
17:51:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:51:23 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:51:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:51:25 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
17:51:26 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
