18:36:37 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 59066 
18:36:37 info -  [SocketServerLauncher] Starting GLSP server connection 
18:36:37 info -  [DefaultGLSPServer] Initializing server with: applicationId: 1220cff6-d67e-4245-9737-018063cf4bde, protocolVersion: 1.0.0 
18:36:38 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:36:38 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:36:38 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:36:38 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:36:38 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:36:43 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:36:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:36:45 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:37:03 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:37:03 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:37:07 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:37:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:37:08 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:37:15 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:37:15 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:37:17 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:37:17 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:37:19 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:37:19 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:37:21 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
