18:05:48 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 56223 
18:05:48 info -  [SocketServerLauncher] Starting GLSP server connection 
18:05:48 info -  [DefaultGLSPServer] Initializing server with: applicationId: 02159f07-3350-4b9f-877d-ec0113dd587e, protocolVersion: 1.0.0 
18:05:49 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:05:49 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:05:49 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:05:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:05:49 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:06:05 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:06:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:06:07 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:06:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:06:09 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:06:09 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:06:10 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:06:11 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:06:13 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:06:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:06:16 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:06:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:06:17 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
