18:52:34 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55646 
18:52:34 info -  [SocketServerLauncher] Starting GLSP server connection 
18:52:34 info -  [DefaultGLSPServer] Initializing server with: applicationId: 6b5f2f76-c48f-4246-b01e-a79af213bde3, protocolVersion: 1.0.0 
18:52:35 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:52:35 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:52:35 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:52:35 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:52:35 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:52:39 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:52:40 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:52:42 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:52:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:52:47 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:52:47 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:52:48 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:52:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:52:51 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:52:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:52:53 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:52:53 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:52:55 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
