22:27:52 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 56533 
22:27:52 info -  [SocketServerLauncher] Starting GLSP server connection 
22:27:52 info -  [DefaultGLSPServer] Initializing server with: applicationId: 6402a731-15d7-4e1d-b9ca-c13fe8b7b5f7, protocolVersion: 1.0.0 
22:27:55 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
22:27:55 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
22:27:55 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
22:27:55 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:27:56 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
22:28:06 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:28:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:28:08 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
22:28:20 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:28:20 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:28:22 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
22:28:22 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:28:23 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
22:28:29 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
22:28:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:28:32 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
22:28:32 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:29:21 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:29:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:29:24 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
22:29:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:29:26 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
22:30:05 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
22:30:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:30:09 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
22:30:09 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:30:12 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
22:30:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:30:13 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:30:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:30:17 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
22:30:17 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:30:19 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:30:19 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:30:20 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:30:20 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:30:24 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
22:30:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
