18:34:43 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 64432 
18:34:43 info -  [SocketServerLauncher] Starting GLSP server connection 
18:34:43 info -  [DefaultGLSPServer] Initializing server with: applicationId: 7c466d89-eded-4eb4-abc0-de3963f2e96b, protocolVersion: 1.0.0 
18:34:47 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:34:47 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:34:47 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:34:48 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:34:48 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:34:51 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:34:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:34:52 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:34:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:34:56 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:34:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
