18:40:34 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 58344 
18:40:35 info -  [SocketServerLauncher] Starting GLSP server connection 
18:40:35 info -  [DefaultGLSPServer] Initializing server with: applicationId: a293ca82-aee2-4e00-999a-b56e5fb237d1, protocolVersion: 1.0.0 
18:40:39 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:40:39 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:40:39 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:40:40 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:40:40 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:40:50 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:40:50 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:40:51 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:40:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:40:53 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:40:53 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
