18:42:45 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 50627 
18:42:45 info -  [SocketServerLauncher] Starting GLSP server connection 
18:42:45 info -  [DefaultGLSPServer] Initializing server with: applicationId: 8c54a380-ef11-4395-87e7-09dc4ce679b5, protocolVersion: 1.0.0 
18:42:49 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:42:49 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:42:49 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:42:50 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:42:50 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:42:54 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:42:54 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:42:56 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:42:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:42:58 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:42:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:43:03 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:43:04 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:43:04 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:43:04 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:43:04 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
18:43:04 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:43:11 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:43:11 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:43:11 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
18:43:11 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:43:17 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:43:17 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:43:18 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:43:18 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:43:18 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
18:43:18 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:43:28 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:43:28 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:43:28 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
18:43:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
