18:27:58 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 58314 
18:27:59 info -  [SocketServerLauncher] Starting GLSP server connection 
18:27:59 info -  [DefaultGLSPServer] Initializing server with: applicationId: 2015d491-ddf0-4e16-b758-4becd82b5bf5, protocolVersion: 1.0.0 
18:28:00 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:28:00 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:28:00 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:28:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:28:00 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:28:19 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:28:19 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:28:30 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:28:30 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:28:33 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:28:33 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:28:42 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:28:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:28:52 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:28:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:29:12 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:29:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:29:15 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:29:15 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:29:17 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
