18:30:32 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 58945 
18:30:32 info -  [SocketServerLauncher] Starting GLSP server connection 
18:30:32 info -  [DefaultGLSPServer] Initializing server with: applicationId: 3241212a-0d9d-4988-8c9f-ae3869af5f80, protocolVersion: 1.0.0 
18:30:33 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:30:33 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:30:33 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:30:34 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:30:34 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:30:37 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:30:37 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:30:42 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:30:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:30:50 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:30:50 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:30:52 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:30:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:30:55 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:30:55 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:30:56 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
