18:49:07 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 58858 
18:49:07 info -  [SocketServerLauncher] Starting GLSP server connection 
18:49:07 info -  [DefaultGLSPServer] Initializing server with: applicationId: 75dbe68b-5e38-4406-bd3b-3798a6f79f5f, protocolVersion: 1.0.0 
18:49:09 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:49:09 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:49:09 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:49:10 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:49:10 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:49:15 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:49:15 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:49:21 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:49:22 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:49:24 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:49:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:49:26 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:49:30 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:49:30 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:49:33 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:49:33 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:49:34 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:50:07 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:50:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:50:09 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:50:10 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:50:11 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:50:13 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:50:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:50:18 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:50:18 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:50:21 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:50:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:50:22 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:50:49 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:50:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:50:52 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:50:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:50:54 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:50:58 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:50:58 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:51:00 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
