18:53:20 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55760 
18:53:20 info -  [SocketServerLauncher] Starting GLSP server connection 
18:53:20 info -  [DefaultGLSPServer] Initializing server with: applicationId: 83e7efc9-b287-4629-ba95-3697deef4cf4, protocolVersion: 1.0.0 
18:53:22 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:53:22 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:53:22 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:53:22 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:53:22 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:53:24 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:53:25 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:53:31 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:53:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:53:44 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:53:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:53:46 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:53:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:53:48 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:53:48 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:53:49 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:54:13 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:54:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:54:17 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:54:17 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:54:18 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:54:37 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:54:37 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:54:39 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:54:39 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:54:41 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:55:00 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:55:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:55:07 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:55:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:55:08 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
