18:06:07 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 62243 
18:06:07 info -  [SocketServerLauncher] Starting GLSP server connection 
18:06:07 info -  [DefaultGLSPServer] Initializing server with: applicationId: fb499179-cb2a-44c9-95f9-10d5bbfaf481, protocolVersion: 1.0.0 
18:06:09 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:06:09 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:06:09 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:06:09 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:06:09 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:06:22 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:06:22 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:06:23 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:06:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:06:23 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:06:30 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:06:30 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:06:31 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:06:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:06:34 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:06:34 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:06:36 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:06:41 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:06:41 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:06:43 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:06:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:06:44 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:07:03 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:07:03 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:07:07 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:07:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:07:10 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:07:11 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:07:12 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:07:16 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:07:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
