19:38:41 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 49332 
19:38:41 info -  [SocketServerLauncher] Starting GLSP server connection 
19:38:41 info -  [DefaultGLSPServer] Initializing server with: applicationId: 06ead8d8-4e4e-41f7-b380-f68f2c585d3d, protocolVersion: 1.0.0 
19:38:43 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
19:38:43 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
19:38:43 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
19:38:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:38:44 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
19:38:46 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:38:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:38:48 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
19:38:48 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:38:49 info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
19:38:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:38:53 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:38:53 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:38:54 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:38:54 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:38:56 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:38:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:38:59 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:38:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:39:02 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:39:03 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:39:04 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:39:04 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
19:39:04 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
