19:09:28 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 56995 
19:09:28 info -  [SocketServerLauncher] Starting GLSP server connection 
19:09:29 info -  [DefaultGLSPServer] Initializing server with: applicationId: 422b0570-8d8e-4c4d-9046-9060c64591fc, protocolVersion: 1.0.0 
19:09:31 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
19:09:31 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
19:09:31 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
19:09:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:09:31 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
19:09:35 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:09:35 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:09:38 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:09:38 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:09:41 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:09:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:09:42 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
19:09:43 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
19:09:57 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
19:09:57 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:10:00 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:10:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:10:02 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
19:10:07 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
19:10:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:10:10 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:10:10 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:10:11 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
