19:22:56 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55822 
19:22:56 info -  [SocketServerLauncher] Starting GLSP server connection 
19:22:56 info -  [DefaultGLSPServer] Initializing server with: applicationId: 6cdbce22-3665-4fb3-9b7a-f92e00d03416, protocolVersion: 1.0.0 
19:22:58 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
19:22:58 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
19:22:58 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
19:22:58 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:22:58 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
19:23:04 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:23:04 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:23:05 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:23:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:23:08 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:23:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:23:16 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:23:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
