22:43:48 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 52070 
22:43:48 info -  [SocketServerLauncher] Starting GLSP server connection 
22:43:48 info -  [DefaultGLSPServer] Initializing server with: applicationId: 1ab9f3d2-db1c-40cf-8856-1fa40a956d7e, protocolVersion: 1.0.0 
22:43:49 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
22:43:49 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
22:43:49 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
22:43:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:43:49 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
22:44:01 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:44:01 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:44:02 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:44:02 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:44:06 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
22:44:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:44:08 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:44:11 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:44:12 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:44:12 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:44:13 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:44:14 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:44:15 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:44:15 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:44:15 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
22:44:15 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
