22:23:38 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 60955 
22:23:39 info -  [SocketServerLauncher] Starting GLSP server connection 
22:23:39 info -  [DefaultGLSPServer] Initializing server with: applicationId: d294ebb5-8949-4eed-bb13-915447463844, protocolVersion: 1.0.0 
22:23:40 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
22:23:40 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
22:23:40 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
22:23:41 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:23:41 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
22:23:54 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:23:54 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:23:55 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:23:55 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:23:57 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
22:23:57 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
