22:35:00 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 58081 
22:35:00 info -  [SocketServerLauncher] Starting GLSP server connection 
22:35:00 info -  [DefaultGLSPServer] Initializing server with: applicationId: 8202a484-646c-4779-8f3c-23ced102341f, protocolVersion: 1.0.0 
22:35:00 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
22:35:00 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
22:35:00 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
22:35:01 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:35:01 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
22:35:05 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_1', diagramType: 'tasklist-diagram' 
22:35:05 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_1] 
22:35:05 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_1] 
22:35:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
22:35:05 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_1] 
22:35:11 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:35:11 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:35:12 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:35:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:35:15 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
22:35:15 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
