22:39:19 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 65332 
22:39:20 info -  [SocketServerLauncher] Starting GLSP server connection 
22:39:20 info -  [DefaultGLSPServer] Initializing server with: applicationId: 2da1ceb4-62c0-4cbf-a08e-d595aba83080, protocolVersion: 1.0.0 
22:39:20 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
22:39:20 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
22:39:20 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
22:39:20 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:39:20 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
22:39:24 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:39:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:39:25 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:39:25 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:39:27 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
22:39:27 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:39:30 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
22:39:30 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
