22:39:59 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 52832 
22:39:59 info -  [SocketServerLauncher] Starting GLSP server connection 
22:39:59 info -  [DefaultGLSPServer] Initializing server with: applicationId: 68be916c-3489-44c2-a8cc-4449774218d3, protocolVersion: 1.0.0 
22:40:00 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
22:40:00 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
22:40:00 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
22:40:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:40:00 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
22:40:04 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:40:04 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:40:05 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:40:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:40:08 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
22:40:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:40:10 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
22:40:10 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
