15:46:39 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 59411 
15:46:39 info -  [SocketServerLauncher] Starting GLSP server connection 
15:46:39 info -  [DefaultGLSPServer] Initializing server with: applicationId: fd58d43c-1317-46dd-a3c4-3f9d7d5c911e, protocolVersion: 1.0.0 
15:46:41 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
15:46:41 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
15:46:41 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
15:46:41 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:46:41 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
15:46:44 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:46:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:46:45 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:47:58 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:47:58 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:48:00 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:48:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:48:01 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
