16:31:35 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 64176 
16:31:36 info -  [SocketServerLauncher] Starting GLSP server connection 
16:31:36 info -  [DefaultGLSPServer] Initializing server with: applicationId: 4cfbd8a3-de5c-4bef-b6d8-54223fd40660, protocolVersion: 1.0.0 
16:31:38 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
16:31:38 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
16:31:38 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
16:31:38 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:31:38 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
16:31:45 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:31:45 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:31:46 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
16:32:03 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:32:03 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:32:04 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
