20:36:29 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 54287 
20:36:29 info -  [SocketServerLauncher] Starting GLSP server connection 
20:36:29 info -  [DefaultGLSPServer] Initializing server with: applicationId: e3ffc7c3-637e-4989-a90d-5509e41b82bc, protocolVersion: 1.0.0 
20:36:31 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
20:36:31 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
20:36:31 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
20:36:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:36:31 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
20:36:37 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
20:36:37 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:36:39 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
20:36:39 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:36:42 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
20:36:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:36:44 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
20:36:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:36:47 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
20:36:47 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:36:49 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
20:36:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:36:51 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
20:36:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:36:53 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
20:36:53 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
