23:18:40 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 62374 
23:18:40 info -  [SocketServerLauncher] Starting GLSP server connection 
23:18:40 info -  [DefaultGLSPServer] Initializing server with: applicationId: 2ae9c8ec-a208-41c3-a336-0197afa2e366, protocolVersion: 1.0.0 
23:18:42 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
23:18:42 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
23:18:42 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
23:18:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:18:42 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
23:18:47 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
23:18:47 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:18:50 info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
23:18:50 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:18:52 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
23:19:38 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
23:19:38 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:19:40 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
23:19:40 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:19:43 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
23:19:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:19:45 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
23:19:45 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:19:46 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
23:20:08 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
23:20:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:20:17 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
23:20:17 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
