23:31:10 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 64453 
23:31:10 info -  [SocketServerLauncher] Starting GLSP server connection 
23:31:10 info -  [DefaultGLSPServer] Initializing server with: applicationId: ed2dc840-2986-4c8a-9ec5-874e8a5fee24, protocolVersion: 1.0.0 
23:31:11 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
23:31:11 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
23:31:11 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
23:31:11 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:31:11 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
23:31:14 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
23:31:14 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:31:16 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
23:31:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:31:18 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
23:31:19 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:31:21 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
23:31:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:31:23 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
23:31:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:31:25 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
23:31:25 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:31:26 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
23:33:07 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
23:33:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:33:08 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
23:33:27 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
23:33:27 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:33:33 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
23:33:33 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:33:36 info -  [DefaultGLSPServer] process [action=glspUndo, clientId=tasklist-diagram_0] 
23:33:36 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:33:39 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
23:33:39 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:33:40 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
23:34:02 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
23:34:02 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:34:04 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
23:34:04 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:34:05 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
23:34:13 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
23:34:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:34:15 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
23:34:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:34:16 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
23:34:23 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
23:34:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:34:25 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
23:34:25 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:34:27 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
23:34:27 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:34:28 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
