23:42:31 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 60655 
23:42:31 info -  [SocketServerLauncher] Starting GLSP server connection 
23:42:31 info -  [DefaultGLSPServer] Initializing server with: applicationId: 54391f3c-381b-4b8b-a948-5f127d8aeecd, protocolVersion: 1.0.0 
23:42:32 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
23:42:32 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
23:42:32 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
23:42:32 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:42:32 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
23:42:35 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
23:42:35 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:42:37 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
23:42:37 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:42:38 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
23:42:38 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:42:40 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
23:42:40 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:42:42 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
23:42:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:42:44 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
23:42:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:42:46 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
