15:24:16 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 62817 
15:24:16 info -  [SocketServerLauncher] Starting GLSP server connection 
15:24:16 info -  [DefaultGLSPServer] Initializing server with: applicationId: c649b67b-86ff-456d-9182-bd4694b7c414, protocolVersion: 1.0.0 
15:24:18 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
15:24:18 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
15:24:18 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
15:24:18 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:24:18 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
15:24:24 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:24:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:24:25 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:24:25 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:24:29 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:24:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:24:33 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:24:33 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:24:35 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:24:35 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:24:38 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
15:24:38 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:24:43 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:24:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:24:47 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
15:24:47 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
15:24:47 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
15:24:47 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
