15:30:10 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 50245 
15:30:10 info -  [SocketServerLauncher] Starting GLSP server connection 
15:30:10 info -  [DefaultGLSPServer] Initializing server with: applicationId: d01cd0a9-efe8-4dd9-b8ca-b866d128d86c, protocolVersion: 1.0.0 
15:30:11 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
15:30:11 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
15:30:11 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
15:30:11 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:30:11 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
15:30:39 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:30:39 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:30:43 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:30:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:30:44 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:30:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:30:46 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:30:47 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:30:49 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:30:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:30:58 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:30:58 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:31:00 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:31:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:31:05 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
15:31:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:31:06 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
15:31:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:31:09 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:31:09 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:31:11 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:31:11 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:31:14 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:31:14 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:31:16 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:31:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:31:25 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:31:47 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:31:47 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:31:49 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:31:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:31:51 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
