15:33:12 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55198 
15:33:12 info -  [SocketServerLauncher] Starting GLSP server connection 
15:33:13 info -  [DefaultGLSPServer] Initializing server with: applicationId: dbe0de1d-0576-4faa-a862-115cfc203f49, protocolVersion: 1.0.0 
15:33:14 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
15:33:14 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
15:33:14 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
15:33:14 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:33:14 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
15:33:19 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:33:19 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:33:21 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:33:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:33:23 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:33:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:33:25 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:33:26 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:33:28 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:33:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:33:30 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:33:30 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:33:31 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:33:32 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:33:33 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
15:33:33 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:33:35 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:33:35 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:33:38 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:33:38 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:33:41 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
15:33:41 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
15:33:55 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
15:34:14 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
