18:30:25 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 60352 
18:30:25 info -  [SocketServerLauncher] Starting GLSP server connection 
18:30:25 info -  [DefaultGLSPServer] Initializing server with: applicationId: 46ad3396-ac8f-47b3-b083-59c3314fce7e, protocolVersion: 1.0.0 
18:30:28 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:30:28 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:30:28 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:30:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:30:28 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:30:38 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:30:38 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:30:41 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:30:41 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:30:42 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:30:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:30:45 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:30:45 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:30:51 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:30:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:31:05 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
