18:44:35 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 58033 
18:44:35 info -  [SocketServerLauncher] Starting GLSP server connection 
18:44:35 info -  [DefaultGLSPServer] Initializing server with: applicationId: fa64b77e-e60d-4685-8514-5829cb589fe3, protocolVersion: 1.0.0 
18:44:37 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:44:37 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:44:37 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:44:37 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:44:37 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:44:39 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:44:39 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:44:40 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:44:40 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:44:43 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:44:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
