18:48:27 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 51382 
18:48:27 info -  [SocketServerLauncher] Starting GLSP server connection 
18:48:27 info -  [DefaultGLSPServer] Initializing server with: applicationId: 391acb71-74a7-4db5-90b0-ca15ef9018d4, protocolVersion: 1.0.0 
18:48:29 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:48:29 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:48:29 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:48:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:48:29 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:48:33 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:48:33 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:48:34 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:48:34 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:48:38 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:48:38 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
