18:54:54 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 59525 
18:54:55 info -  [SocketServerLauncher] Starting GLSP server connection 
18:54:55 info -  [DefaultGLSPServer] Initializing server with: applicationId: d94f4e7a-12f6-4cfa-b3f7-c9f91e34a961, protocolVersion: 1.0.0 
18:54:56 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:54:56 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:54:56 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:54:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:54:56 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:55:40 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:55:40 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:55:42 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:55:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:55:45 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:55:45 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
