19:19:45 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 49712 
19:19:46 info -  [SocketServerLauncher] Starting GLSP server connection 
19:19:46 info -  [DefaultGLSPServer] Initializing server with: applicationId: 7831a5fb-6873-484d-9dbf-3869c6d7d79a, protocolVersion: 1.0.0 
19:19:47 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
19:19:47 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
19:19:47 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
19:19:47 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:19:47 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
19:19:51 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:19:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:19:52 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:19:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:19:57 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:19:57 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
