19:22:52 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 56337 
19:22:52 info -  [SocketServerLauncher] Starting GLSP server connection 
19:22:52 info -  [DefaultGLSPServer] Initializing server with: applicationId: 99c2ec4f-0a29-45d9-a8c0-c7fa722e5645, protocolVersion: 1.0.0 
19:22:54 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
19:22:54 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
19:22:54 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
19:22:54 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:22:54 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
19:22:57 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:22:57 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:22:59 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:22:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:23:02 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:23:02 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
