19:35:53 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 56881 
19:35:54 info -  [SocketServerLauncher] Starting GLSP server connection 
19:35:54 info -  [DefaultGLSPServer] Initializing server with: applicationId: 11a747bc-2460-4879-9c2a-7aa3c65a2719, protocolVersion: 1.0.0 
19:35:56 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
19:35:56 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
19:35:56 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
19:35:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:35:56 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
19:35:59 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:35:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:36:02 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:36:03 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:36:06 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:36:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:36:10 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:36:10 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:36:10 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
19:36:10 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:36:13 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:36:14 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:36:15 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:36:15 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:36:15 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:36:15 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
19:36:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
