19:04:46 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 60301 
19:04:46 info -  [SocketServerLauncher] Starting GLSP server connection 
19:04:46 info -  [DefaultGLSPServer] Initializing server with: applicationId: 11833249-698b-4b34-9464-76b4319149c6, protocolVersion: 1.0.0 
19:04:48 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
19:04:48 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
19:04:48 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
19:04:48 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:04:48 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
19:05:00 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:05:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:05:02 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:05:02 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:05:04 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:05:04 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
