19:06:38 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 60388 
19:06:39 info -  [SocketServerLauncher] Starting GLSP server connection 
19:06:39 info -  [DefaultGLSPServer] Initializing server with: applicationId: fb98af0d-3733-43ef-b08c-5575e687fb95, protocolVersion: 1.0.0 
19:06:40 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
19:06:40 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
19:06:40 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
19:06:40 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:06:41 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
19:06:43 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:06:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:06:47 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:06:47 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:06:53 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:06:54 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
