17:39:46 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 65079 
17:39:46 info -  [SocketServerLauncher] Starting GLSP server connection 
17:39:46 info -  [DefaultGLSPServer] Initializing server with: applicationId: 5ef8afca-c96f-45ae-b9ad-da286c3cd1e7, protocolVersion: 1.0.0 
17:39:48 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
17:39:48 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
17:39:48 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
17:39:48 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:39:48 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
17:39:51 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:39:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:39:55 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:39:55 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:39:56 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:39:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
