17:43:45 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 56522 
17:43:45 info -  [SocketServerLauncher] Starting GLSP server connection 
17:43:45 info -  [DefaultGLSPServer] Initializing server with: applicationId: bcd77d83-da36-49a0-96b6-fdbdaba6beaa, protocolVersion: 1.0.0 
17:43:46 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
17:43:46 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
17:43:46 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
17:43:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:43:46 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
17:43:49 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:43:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:44:05 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:44:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:44:06 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:44:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:44:07 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:44:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
