17:50:58 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 50311 
17:50:58 info -  [SocketServerLauncher] Starting GLSP server connection 
17:50:58 info -  [DefaultGLSPServer] Initializing server with: applicationId: b34c0cbd-b9a1-4390-a69f-5d645bb7176b, protocolVersion: 1.0.0 
17:50:59 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
17:50:59 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
17:50:59 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
17:50:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:50:59 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
17:51:03 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:51:04 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:51:07 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:51:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:51:08 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:51:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:51:08 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:51:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:51:10 info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
17:51:10 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:51:12 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:51:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:51:13 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:51:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
