17:57:40 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55245 
17:57:40 info -  [SocketServerLauncher] Starting GLSP server connection 
17:57:40 info -  [DefaultGLSPServer] Initializing server with: applicationId: 657bcffe-75c7-47ce-b75b-96bbc2544fe4, protocolVersion: 1.0.0 
17:57:42 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
17:57:42 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
17:57:42 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
17:57:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:57:42 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
17:57:44 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:57:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:57:49 info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
17:57:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:57:49 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:57:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
