18:01:45 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 56653 
18:01:45 info -  [SocketServerLauncher] Starting GLSP server connection 
18:01:45 info -  [DefaultGLSPServer] Initializing server with: applicationId: 3678cf74-963e-4932-afe5-d64e42416c88, protocolVersion: 1.0.0 
18:01:46 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:01:46 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:01:46 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:01:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:01:46 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:01:49 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:01:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:01:51 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:01:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:01:52 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:01:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:01:56 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:01:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:01:58 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:01:58 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
