18:12:04 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 56096 
18:12:04 info -  [SocketServerLauncher] Starting GLSP server connection 
18:12:04 info -  [DefaultGLSPServer] Initializing server with: applicationId: 2531a6c7-26e9-48f5-8bde-e6fc7fb1dbbb, protocolVersion: 1.0.0 
18:12:06 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:12:06 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:12:06 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:12:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:12:06 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:12:24 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:12:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:12:27 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:12:27 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:12:28 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:12:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:12:29 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:12:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:12:34 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:12:34 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:12:37 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:12:37 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:12:39 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:12:45 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
18:15:22 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:15:22 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:15:24 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:15:25 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:15:26 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:15:26 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:15:27 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:15:31 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:15:32 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:15:34 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:15:35 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:15:35 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
18:15:35 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:15:35 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
