18:18:11 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55586 
18:18:11 info -  [SocketServerLauncher] Starting GLSP server connection 
18:18:11 info -  [DefaultGLSPServer] Initializing server with: applicationId: 1a82a4f5-fe18-4e1f-b53d-01e40b7be490, protocolVersion: 1.0.0 
18:18:13 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:18:13 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:18:13 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:18:14 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:18:14 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:18:19 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:18:19 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:18:21 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:18:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:18:23 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:18:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:18:26 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:18:26 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:18:28 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:18:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:18:29 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:18:30 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
18:18:36 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:37 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:37 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:38 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:38 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:38 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:38 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:39 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:39 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:40 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:40 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:41 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:41 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:41 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:42 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:43 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:43 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
18:18:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:18:45 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:46 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:46 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:47 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:47 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:47 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:48 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:49 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:50 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:50 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:18:52 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
