18:27:18 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 52094 
18:27:18 info -  [SocketServerLauncher] Starting GLSP server connection 
18:27:18 info -  [DefaultGLSPServer] Initializing server with: applicationId: bcf90e8a-8593-4f29-9485-001affe6ba3d, protocolVersion: 1.0.0 
18:27:19 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:27:19 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:27:19 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:27:19 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:27:19 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:27:22 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:27:22 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:27:24 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:27:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:27:28 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:27:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:27:31 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:27:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:27:33 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:27:33 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:27:42 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:27:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:27:45 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
18:27:53 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:27:55 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
