19:13:56 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 57268 
19:13:56 info -  [SocketServerLauncher] Starting GLSP server connection 
19:13:56 info -  [DefaultGLSPServer] Initializing server with: applicationId: ad5062d7-db9b-4300-a277-ad6a7dc6678d, protocolVersion: 1.0.0 
19:13:57 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
19:13:57 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
19:13:57 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
19:13:58 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:13:58 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
19:14:01 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:14:01 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:14:04 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:14:04 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:14:05 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:14:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:14:09 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:14:09 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:14:11 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:14:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:14:14 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:14:14 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:14:16 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:14:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:14:20 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
19:15:04 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
19:15:04 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:15:06 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
19:15:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:15:07 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
19:15:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:15:12 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:15:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:15:14 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:15:14 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:15:21 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:15:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:15:23 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:15:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:15:25 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:15:25 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:15:28 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:15:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:15:30 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
