19:18:38 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 57882 
19:18:38 info -  [SocketServerLauncher] Starting GLSP server connection 
19:18:38 info -  [DefaultGLSPServer] Initializing server with: applicationId: 52d8f5f0-66b9-48cd-8888-ad9ac35fba0c, protocolVersion: 1.0.0 
19:18:39 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
19:18:39 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
19:18:39 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
19:18:39 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:18:39 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
19:18:43 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:18:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:18:44 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:18:45 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:18:46 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:18:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:18:48 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:18:48 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:18:51 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:18:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:18:54 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:18:54 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:18:56 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:18:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:18:59 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
19:19:24 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
19:21:01 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:21:01 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:21:03 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:21:03 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:21:06 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:21:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:21:08 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:21:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
