19:49:06 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 54619 
19:49:06 info -  [SocketServerLauncher] Starting GLSP server connection 
19:49:06 info -  [DefaultGLSPServer] Initializing server with: applicationId: 1dcd8c78-96b6-4865-b3ec-6ee62c71b062, protocolVersion: 1.0.0 
19:49:07 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
19:49:07 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
19:49:07 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
19:49:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:49:07 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
19:49:10 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:49:10 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:49:12 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:49:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:49:14 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:49:14 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:49:16 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
19:49:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:49:19 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:49:19 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:49:22 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:49:22 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:49:24 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:49:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:49:27 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:49:27 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:49:30 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:49:30 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:49:32 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:49:32 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:49:33 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
