21:41:27 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 65503 
21:41:27 info -  [SocketServerLauncher] Starting GLSP server connection 
21:41:27 info -  [DefaultGLSPServer] Initializing server with: applicationId: 89e21101-ad65-44f4-9e10-6e1efc2830e6, protocolVersion: 1.0.0 
21:41:29 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
21:41:29 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
21:41:29 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
21:41:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
21:41:29 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
21:41:36 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
21:41:36 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
21:41:43 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:41:44 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:41:44 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:41:44 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
21:41:44 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:41:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
21:41:48 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:41:49 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:41:49 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:41:50 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:41:50 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
21:41:50 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:41:50 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
