21:50:21 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 49236 
21:50:21 info -  [SocketServerLauncher] Starting GLSP server connection 
21:50:21 info -  [DefaultGLSPServer] Initializing server with: applicationId: dfd288c1-f533-4bae-9cc6-c09b80620bfe, protocolVersion: 1.0.0 
21:50:24 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
21:50:24 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
21:50:24 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
21:50:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
21:50:24 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
21:50:26 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
21:50:26 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
21:50:28 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
21:50:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
21:50:30 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
21:50:30 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
21:51:30 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
21:51:30 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
21:51:31 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
21:51:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
21:51:34 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
21:51:34 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
21:51:37 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
21:51:37 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
21:51:39 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
