16:08:19 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 51759 
16:08:19 info -  [SocketServerLauncher] Starting GLSP server connection 
16:08:20 info -  [DefaultGLSPServer] Initializing server with: applicationId: ba08acf1-8b3f-4174-b728-cc4e7a16f8f2, protocolVersion: 1.0.0 
16:08:24 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
16:08:24 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
16:08:24 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
16:08:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:08:24 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
16:08:54 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:08:54 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:08:56 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:08:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:08:57 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:08:57 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:08:59 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:08:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:09:00 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:09:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:09:01 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:09:01 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:09:02 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:09:02 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:09:05 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:09:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:09:09 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:09:09 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
