17:36:41 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 60383 
17:36:41 info -  [SocketServerLauncher] Starting GLSP server connection 
17:36:41 info -  [DefaultGLSPServer] Initializing server with: applicationId: 083350a7-45ab-4da2-8fe0-cf098126cb76, protocolVersion: 1.0.0 
17:36:43 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
17:36:43 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
17:36:43 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
17:36:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:36:44 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
17:36:51 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:36:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:36:53 info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
17:36:53 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:36:59 info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
17:36:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:37:00 info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
17:37:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:37:05 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:37:05 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:37:05 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
17:37:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:37:06 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:37:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:37:19 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:37:19 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:37:21 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:37:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:37:25 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:37:25 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:37:26 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:37:26 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
17:37:26 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
