17:47:10 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 51351 
17:47:10 info -  [SocketServerLauncher] Starting GLSP server connection 
17:47:10 info -  [DefaultGLSPServer] Initializing server with: applicationId: 9f033a59-f412-4fe9-aa0a-2802866e70f4, protocolVersion: 1.0.0 
17:47:12 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
17:47:12 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
17:47:12 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
17:47:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:47:12 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
17:47:17 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:47:17 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:47:18 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:47:19 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:47:23 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:47:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:47:25 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:47:25 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:47:29 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:47:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:47:33 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:47:33 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:47:35 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:47:35 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:47:37 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:47:37 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:47:39 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:47:39 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
