18:36:20 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 58184 
18:36:20 info -  [SocketServerLauncher] Starting GLSP server connection 
18:36:20 info -  [DefaultGLSPServer] Initializing server with: applicationId: 004ef3e8-bab7-4a5a-bd40-97751a75b2e6, protocolVersion: 1.0.0 
18:36:21 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:36:21 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:36:21 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:36:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:36:21 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:36:24 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:36:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:36:26 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:36:26 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:36:29 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:36:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:36:32 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:36:32 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:36:37 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:36:37 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:36:37 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
18:36:37 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
